store_id,transaction_id,timestamp,basket_value_inr
ST1008,TXN_53,2026-04-10T16:55:36Z,350.0
ST1008,TXN_54,2026-04-10T16:55:36Z,240.06
ST1008,TXN_55,2026-04-10T16:55:36Z,291.5
ST1008,TXN_56,2026-04-10T17:44:44Z,299.0
ST1008,TXN_57,2026-04-10T17:55:02Z,215.67
ST1008,TXN_58,2026-04-10T17:55:02Z,215.67
ST1008,TXN_59,2026-04-10T17:55:02Z,237.31
ST1008,TXN_60,2026-04-10T17:55:02Z,179.6
ST1008,TXN_61,2026-04-10T17:55:02Z,287.8
ST1008,TXN_62,2026-04-10T17:55:02Z,359.93
ST1008,TXN_63,2026-04-10T18:00:18Z,149.0
ST1008,TXN_64,2026-04-10T18:07:14Z,495.0
ST1008,TXN_65,2026-04-10T18:07:14Z,198.0
ST1008,TXN_66,2026-04-10T18:41:51Z,1448.18
ST1008,TXN_67,2026-04-10T18:41:51Z,0.8
ST1008,TXN_68,2026-04-10T18:41:51Z,615.09
ST1008,TXN_69,2026-04-10T19:02:09Z,466.67
ST1008,TXN_70,2026-04-10T19:02:09Z,0.0
ST1008,TXN_71,2026-04-10T19:02:09Z,299.76
ST1008,TXN_72,2026-04-10T19:02:09Z,933.34
ST1008,TXN_73,2026-04-10T19:02:09Z,299.76
ST1008,TXN_74,2026-04-10T19:02:09Z,296.43
ST1008,TXN_75,2026-04-10T19:21:55Z,99.0
ST1008,TXN_76,2026-04-10T19:21:55Z,299.39
ST1008,TXN_77,2026-04-10T19:21:55Z,1221.65
ST1008,TXN_78,2026-04-10T19:21:55Z,99.0
ST1008,TXN_79,2026-04-10T19:21:55Z,599.0
ST1008,TXN_80,2026-04-10T19:21:55Z,569.67
ST1008,TXN_81,2026-04-10T19:21:55Z,0.0
ST1008,TXN_82,2026-04-10T19:21:55Z,172.8
ST1008,TXN_83,2026-04-10T19:21:55Z,406.67
ST1008,TXN_84,2026-04-10T19:33:52Z,249.0
ST1008,TXN_85,2026-04-10T19:33:52Z,765.0
ST1008,TXN_86,2026-04-10T19:33:52Z,99.0
ST1008,TXN_87,2026-04-10T19:41:29Z,450.0
ST1008,TXN_88,2026-04-10T19:41:29Z,99.0
ST1008,TXN_89,2026-04-10T19:41:29Z,49.5
ST1008,TXN_90,2026-04-10T19:41:29Z,1305.0
ST1008,TXN_91,2026-04-10T19:41:29Z,49.5
ST1008,TXN_92,2026-04-10T19:54:02Z,198.0
ST1008,TXN_93,2026-04-10T19:54:02Z,313.64
ST1008,TXN_94,2026-04-10T19:54:02Z,121.5
ST1008,TXN_95,2026-04-10T19:54:02Z,721.65
ST1008,TXN_96,2026-04-10T20:25:04Z,224.31
ST1008,TXN_97,2026-04-10T20:25:04Z,224.31
ST1008,TXN_98,2026-04-10T20:25:04Z,0.0
ST1008,TXN_99,2026-04-10T20:25:04Z,449.37
ST1008,TXN_100,2026-04-10T21:16:15Z,269.1
ST1008,TXN_101,2026-04-10T21:39:55Z,427.5
